FuelBlend,RPM,CO,CO2,HC,NO
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1000,0.42,0.08,58.6,6.5
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,1500,0.38,0.35,68.3,8.2
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2000,0.34,0.5,73.2,8.5
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
0,2500,0.55,0.78,92.3,8.9
